particpant_id	mnm_id	mnm_color	taste_response	notes
42	2	green	bad	
43	1	yellow	good	
43	2	orange	bad	with a grimace
43	2	blue	good	
43	1	brown	good	
43	2	blue	normal	
43	2	red	bad	
43	1	green	normal	
43	2	red	bad	
43	1	yellow	good	
43	1	red	good	
44	1	orange	normal	
44	2	blue	bad	aftertaste
44	2	yellow	bad	
44	1	yellow	bad	
44	1	brown	normal	
44	1	orange	normal	
44	2	green	bad	
44	1	green	normal	
44	2	blue	bad	
44	2	red	normal	
45	2	orange	normal	
45	2	green	good	
45	1	yellow	bad	
45	1	blue	good	
45	2	blue	good	
45	1	brown	good	
45	2	brown	good	
45	2	red	good	
45	1	red	bad	
45	1	orange	bad	
46	1	blue	good	
46	1	yellow	normal	
46	2	yellow	good	
46	1	brown	normal	
46	2	brown	good	
46	2	orange	good	
46	1	orange	bad	
46	1	blue	normal	
46	2	blue	good	the best one ever
46	2	red	normal	
47	2	yellow	bad	"awful, eww"
47	1	yellow	normal	
47	1	red	normal	
47	2	red	bad	
47	1	red	bad	
47	2	orange	bad	"awful, very bad"
47	2	orange	good	
47	1	blue	normal	
47	1	brown	bad	
47	2	brown	good	
48	1	blue	normal	
48	2	blue	bad	
48	2	orange	bad	
48	2	yellow	bad	
48	1	yellow	normal	
48	1	red	normal	
48	1	brown	bad	
48	2	brown	bad	
48	1	red	bad	
48	2	green	bad	
49	2	green	good	
49	2	orange	good	
49	1	orange	good	
49	2	yellow	normal	
49	1	yellow	normal	
49	1	brown	normal	
49	1	red	good	
49	1	blue	good	
49	2	blue	good	super good
49	2	red	good	
50	1	blue	normal	
50	2	blue	bad	
50	2	green	bad	
50	1	green	normal	
50	2	red	good	
50	2	yellow	bad	
50	1	yellow	bad	
50	2	brown	normal	
50	1	brown	good	
50	1	orange	good	
51	2	orange	normal	
51	2	blue	normal	
51	1	blue	good	
51	1	orange	good	
51	2	orange	good	
51	2	brown	good	
51	1	brown	good	delicious
51	2	yellow	good	
51	1	yellow	normal	
51	1	red	good	
52	1	orange	bad	
52	2	orange	good	
52	2	green	good	
52	1	green	bad	
52	1	blue	good	
52	1	red	good	
52	2	red	bad	
52	1	brown	bad	
52	2	brown	good	
52	2	yellow	bad	
